,open,high,low,close,volume,datetime
2930,55104.0,55137.0,54851.1,55113.0,623.14,2024-09-09 02:00:00
2931,55113.01,55215.74,54764.68,55115.0,1030.09,2024-09-09 03:00:00
2932,55115.0,55150.0,54849.64,54849.65,1034.9,2024-09-09 04:00:00
2933,54849.65,54935.39,54591.96,54668.0,745.99,2024-09-09 05:00:00
2934,54668.0,54971.1,54644.01,54898.0,593.89,2024-09-09 06:00:00
2935,54898.0,55010.87,54730.0,54974.01,716.38,2024-09-09 07:00:00
2936,54974.01,55341.78,54960.0,55244.0,1100.18,2024-09-09 08:00:00
2937,55244.0,55555.0,55102.0,55152.0,988.11,2024-09-09 09:00:00
2938,55152.0,55457.51,55100.0,55364.0,816.93,2024-09-09 10:00:00
2939,55364.0,55386.0,55159.91,55264.87,523.96,2024-09-09 11:00:00
2940,55264.87,55356.0,54965.71,55341.1,801.66,2024-09-09 12:00:00
2941,55341.1,55799.0,55252.0,55686.92,1851.55,2024-09-09 13:00:00
2942,55686.93,55750.0,54804.0,54840.01,2380.62,2024-09-09 14:00:00
2943,54840.0,55470.0,54828.0,55386.0,1508.65,2024-09-09 15:00:00
2944,55385.99,56525.14,55348.54,56430.11,3509.03,2024-09-09 16:00:00
2945,56430.11,56775.24,56339.51,56514.0,1860.61,2024-09-09 17:00:00
2946,56514.0,56650.0,56264.0,56530.0,1814.75,2024-09-09 18:00:00
2947,56529.99,57177.0,56482.0,57089.54,1869.54,2024-09-09 19:00:00
2948,57089.53,57128.0,56810.0,57007.98,788.17,2024-09-09 20:00:00
2949,57007.98,58088.0,57002.93,57454.27,2977.37,2024-09-09 21:00:00
2950,57454.27,57620.0,57184.32,57216.0,786.56,2024-09-09 22:00:00
2951,57216.01,57265.13,56998.19,57042.0,816.08,2024-09-09 23:00:00
2952,57042.01,57065.34,56624.5,56982.01,1449.29,2024-09-10 00:00:00
2953,56982.01,57050.72,56709.16,56900.0,849.87,2024-09-10 01:00:00
2954,56900.0,56911.09,56635.8,56775.28,612.5,2024-09-10 02:00:00
2955,56775.27,56802.0,56522.86,56524.74,677.61,2024-09-10 03:00:00
2956,56524.74,56739.4,56386.4,56609.99,816.28,2024-09-10 04:00:00
2957,56610.0,56966.0,56591.1,56945.45,611.35,2024-09-10 05:00:00
2958,56945.45,56945.45,56771.1,56825.99,466.45,2024-09-10 06:00:00
2959,56826.0,57290.0,56773.43,57218.57,1075.9,2024-09-10 07:00:00
2960,57218.56,57378.0,56990.0,57046.99,1189.37,2024-09-10 08:00:00
2961,57046.99,57273.52,56878.65,57086.01,1085.5,2024-09-10 09:00:00
2962,57086.01,57184.22,56947.13,57170.0,558.16,2024-09-10 10:00:00
2963,57170.0,57260.0,57018.0,57228.0,690.72,2024-09-10 11:00:00
2964,57228.01,57468.98,57162.0,57203.19,870.92,2024-09-10 12:00:00
2965,57203.2,57204.0,56630.56,56741.09,1992.91,2024-09-10 13:00:00
2966,56741.1,57165.99,56502.31,56941.09,1919.83,2024-09-10 14:00:00
2967,56941.09,57210.0,56596.0,56596.0,1353.38,2024-09-10 15:00:00
2968,56596.01,56945.94,56566.0,56819.6,788.18,2024-09-10 16:00:00
2969,56819.59,57380.0,56795.05,57175.96,1100.36,2024-09-10 17:00:00
2970,57175.96,57978.41,57175.96,57581.99,1752.37,2024-09-10 18:00:00
2971,57581.99,58044.36,57334.01,57952.01,1395.6,2024-09-10 19:00:00
2972,57952.01,57975.99,57545.02,57567.89,763.19,2024-09-10 20:00:00
2973,57567.89,57754.0,57455.72,57507.99,537.19,2024-09-10 21:00:00
2974,57508.0,57677.64,57453.0,57615.85,374.58,2024-09-10 22:00:00
2975,57615.86,57870.0,57581.05,57635.99,695.3,2024-09-10 23:00:00
2976,57635.99,57687.71,57438.34,57640.5,455.1,2024-09-11 00:00:00
2977,57640.51,57750.0,56681.32,56717.99,2058.26,2024-09-11 01:00:00
2978,56717.99,57180.98,56696.93,56921.1,1296.57,2024-09-11 02:00:00
2979,56921.11,56971.1,56688.4,56819.55,825.16,2024-09-11 03:00:00
2980,56819.56,56819.56,56252.0,56530.5,1669.12,2024-09-11 04:00:00
2981,56530.51,56539.99,56100.0,56244.0,925.68,2024-09-11 05:00:00
2982,56244.0,56578.0,56174.0,56460.0,842.41,2024-09-11 06:00:00
2983,56460.0,56783.1,56460.0,56712.0,923.93,2024-09-11 07:00:00
2984,56712.01,56716.13,56325.7,56398.0,771.51,2024-09-11 08:00:00
2985,56398.01,56741.24,56381.67,56677.99,797.08,2024-09-11 09:00:00
2986,56678.0,56700.0,56328.26,56510.0,1570.35,2024-09-11 10:00:00
2987,56510.0,56895.82,56507.39,56797.99,1155.7,2024-09-11 11:00:00
2988,56798.0,56915.66,56279.42,56748.01,2511.7,2024-09-11 12:00:00
2989,56748.0,57166.66,55710.7,55740.0,3577.28,2024-09-11 13:00:00
2990,55740.01,56024.0,55545.19,55974.0,2432.25,2024-09-11 14:00:00
2991,55974.0,57003.99,55852.0,56701.23,2304.22,2024-09-11 15:00:00
2992,56701.22,57514.47,56646.0,57312.0,2083.09,2024-09-11 16:00:00
2993,57311.99,57868.47,57254.0,57694.0,2295.98,2024-09-11 17:00:00
2994,57694.0,57981.71,57377.5,57500.0,2079.81,2024-09-11 18:00:00
